Index_agg,Country or area,Country Code,ISO3 Alpha Code,ISO2 Alpha Code,City Code,Urban Agglomeration,Location type,Data,Sources,Statistical Concept,Note,Urban Population,Cluster
1581,South Africa,710,ZAF,ZA,22507,West Rand,Non-Capital,Urban agglomerations and capital cities,"Censuses of 1951, 1960, 1970, 1985, 1991, 1996, 2001 and 2011.",Urban Agglomeration,"As of 1996, refers to the urban population of Mogale City, Merafong City, Randfontein and Westonaria.",Urban Population,1
1598,Sri Lanka,144,LKA,LK,20414,Colombo,Capital,Urban agglomerations and capital cities,"Censuses of 1953, 1963, 1971, 1981, 2001 and 2012; UN Estimate for 2014.",City Proper,"The 2012 census enumeration was done on the de jure basis, while the 2001 census enumeration was done on de facto basis.",Urban Population,1
1600,State of Palestine,275,PSE,PS,23562,Al-Quds[East Jerusalem],Capital,Urban agglomerations and capital cities,"Censuses of 1961, 1967 and 2007; Estimates for 1997 and 2016.",City Proper,Designation and data provided by the State of Palestine. The position of the United Nations on the question of Jerusalem is contained in General Assembly resolution 181 (II) and subsequent resolutions of the General Assembly and the Security Council concerning this question.,Urban Population,1
1609,Suriname,740,SUR,SR,22587,Paramaribo,Capital,Urban agglomerations and capital cities,"Censuses of 1950, 1964, 1971, 1980, 2004 and 2012.",Urban Agglomeration,Refers to the total population of District of Paramaribo.,Urban Population,1
1610,Swaziland,748,SWZ,SZ,22588,Mbabane,Capital,Urban agglomerations and capital cities,"Censuses of 1956, 1966, 1976, 1986 and 1997; UN Estimate for 2007.",City Proper,Mbabane is the administrative capital and Lobamba is the legislative capital.,Urban Population,1
1613,Sweden,752,SWE,SE,22597,Stockholm,Capital,Urban agglomerations and capital cities,"Censuses of 1950, 1960, 1965 and 1970; Estimates for 1970, 1980, 1990, 1995 and 2000; Register of 2005, 2010 and 2016.",Urban Agglomeration,"Refers to ""tätort"" (According to the administrative divisions of 2015).",Urban Population,1
1619,Syrian Arab Republic,760,SYR,SY,23570,Al-Hasakah,Non-Capital,Urban agglomerations and capital cities,"Censuses of 1960, 1970, 1981, 1994 and 2004; UN Estimates for 2010, 2014 and 2017.",City Proper,"Considering the situation in the country, recent estimates should be used with caution as they are not based on solid evidence.",Urban Population,1
1620,Syrian Arab Republic,760,SYR,SY,22607,Al-Raqqa,Non-Capital,Urban agglomerations and capital cities,"Censuses of 1960, 1970, 1981, 1994 and 2004; UN Estimates for 2010, 2014 and 2017.",City Proper,"Considering the situation in the country, recent estimates should be used with caution as they are not based on solid evidence.",Urban Population,1
1621,Syrian Arab Republic,760,SYR,SY,22611,Deir El-Zor(Deir ez-Zor),Non-Capital,Urban agglomerations and capital cities,"Censuses of 1960, 1970, 1981, 1994 and 2004; UN Estimates for 2010, 2014 and 2017.",City Proper,"Considering the situation in the country, recent estimates should be used with caution as they are not based on solid evidence.",Urban Population,1
1622,Syrian Arab Republic,760,SYR,SY,22610,Dimashq (Damascus),Capital,Urban agglomerations and capital cities,"Censuses of 1960, 1970, 1981, 1994 and 2004; UN Estimates for 2010, 2014 and 2017.",City Proper,"Considering the situation in the country, recent estimates should be used with caution as they are not based on solid evidence.",Urban Population,1
